,Регион,ФО,"Число ЗНО, выявленных в отчетном году, радикальное лечение которых закончено в отчетном году, чел.","Число ЗНО, выявленных в отчетном году, радикальное лечение которых закончено в отчетном году, % от впервые выявленных","Число ЗНО, выявленных в отчетном году, радикальное лечение которых будет продолжено в отчетом году, чел.","Число ЗНО, выявленных в отчетном году, радикальное лечение которых будет продолжено в отчетном году, % от впервые выявленных","В том числе с использованием методов только хирургического, %","В том числе с использованием методов только лучевого, %","В том числе с использованием методов только лекарственного, %","В том числе с использованием методов комбинированного или комплексного (кроме химиолучевого), %","В том числе с использованием методов химиолучевого, %",Индикатор,Локализация,Таблица,Тип данных
1708,Забайкальский край,ДАЛЬНЕВОСТОЧНЫЙ ФО,49,46.7,33,31.4,75.5,0.0,0.0,24.5,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1709,Республика Бурятия,ДАЛЬНЕВОСТОЧНЫЙ ФО,51,51.5,20,20.2,41.2,0.0,0.0,58.8,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1710,Республика Саха (Якутия),ДАЛЬНЕВОСТОЧНЫЙ ФО,50,89.3,1,1.8,44.0,0.0,0.0,56.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1711,Еврейская авт. обл.,ДАЛЬНЕВОСТОЧНЫЙ ФО,2,22.2,5,55.6,50.0,0.0,0.0,50.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Яичник (С56),Таблица 79,СОП
1712,РОССИЯ,,13076,33.7,10107,26.0,49.5,12.5,0.0,33.9,4.1,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Предстательная железа (С61),Таблица 80,СОП
1713,Белгородская область,ЦЕНТРАЛЬНЫЙ ФО,148,33.3,125,28.1,41.9,18.9,0.0,35.1,4.1,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Предстательная железа (С61),Таблица 80,СОП
1714,Брянская область,ЦЕНТРАЛЬНЫЙ ФО,24,8.3,169,58.7,37.5,8.3,0.0,54.2,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Предстательная железа (С61),Таблица 80,СОП
1715,Владимирская область,ЦЕНТРАЛЬНЫЙ ФО,122,29.3,124,29.8,57.4,15.6,0.0,27.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Предстательная железа (С61),Таблица 80,СОП
1716,Воронежская область,ЦЕНТРАЛЬНЫЙ ФО,262,40.6,167,25.9,49.6,26.7,0.0,23.7,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Предстательная железа (С61),Таблица 80,СОП
1717,Ивановская область,ЦЕНТРАЛЬНЫЙ ФО,89,32.4,53,19.3,62.9,16.9,0.0,20.2,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Предстательная железа (С61),Таблица 80,СОП
1718,Тверская область,ЦЕНТРАЛЬНЫЙ ФО,109,30.4,107,29.9,34.9,1.8,0.0,63.3,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Предстательная железа (С61),Таблица 80,СОП
1719,Калужская область,ЦЕНТРАЛЬНЫЙ ФО,91,28.1,14,4.3,58.2,9.9,0.0,29.7,2.2,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Предстательная железа (С61),Таблица 80,СОП
1720,Костромская область,ЦЕНТРАЛЬНЫЙ ФО,38,16.2,74,31.5,73.7,2.6,0.0,10.5,13.2,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Предстательная железа (С61),Таблица 80,СОП
1721,Курская область,ЦЕНТРАЛЬНЫЙ ФО,259,71.9,4,1.1,18.1,6.9,0.0,74.9,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Предстательная железа (С61),Таблица 80,СОП
1722,Липецкая область,ЦЕНТРАЛЬНЫЙ ФО,79,32.9,85,35.4,32.9,40.5,0.0,26.6,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Предстательная железа (С61),Таблица 80,СОП
1723,г. Москва,ЦЕНТРАЛЬНЫЙ ФО,743,19.4,1822,47.5,77.7,11.2,0.0,8.7,2.4,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Предстательная железа (С61),Таблица 80,СОП
